,chan_1,chan_2,chan_3,chan_4,chan_5,chan_6,chan_7,chan_8,chan_9,chan_10,chan_11,chan_12,chan_13,chan_14,chan_15,chan_16,trig,timestamp
0,135954.106,90919.073,12475.492,-18056.298,23840.505,-9766.349,-19814.307,-12130.895,20459.49,17387.534,-45698.365,-40812.05,2194.74,-16847.605,9876.007,-4586.578,0.0,0.0
1,135971.518,90933.893,12482.823,-18045.659,23842.248,-9763.935,-19338.774,-12127.095,20503.68,17490.821,-45724.673,-40842.694,2243.199,-16777.711,9846.592,-4620.53,0.0,0.007999999972525984
2,135959.135,90943.861,12503.342,-18054.264,23852.754,-9759.286,-19853.713,-12110.443,20476.344,17402.509,-45686.496,-40817.951,2209.872,-16840.005,9888.144,-4612.171,0.0,0.01600000000325963
3,135902.205,90930.361,12490.87,-18072.369,23833.017,-9783.135,-19297.58,-12133.13,20513.537,17483.602,-45714.369,-40852.976,2250.843,-16779.522,9864.875,-4648.09,0.0,0.023999999975785613
4,135962.264,90965.766,12523.325,-18040.652,23866.567,-9754.972,-19885.766,-12110.756,20473.952,17382.147,-45685.558,-40827.674,2201.356,-16853.461,9893.351,-4621.424,0.0,0.03200000000651926
5,135977.463,90952.4,12506.382,-18063.182,23848.976,-9776.586,-19269.573,-12131.454,20521.315,17495.604,-45701.338,-40831.049,2253.011,-16772.727,9891.161,-4632.198,0.0,0.03999999997904524
6,136035.287,90984.43,12535.484,-18034.371,23880.067,-9748.423,-19900.652,-12116.367,20480.054,17396.966,-45676.036,-40811.156,2199.456,-16845.593,9901.756,-4629.382,0.0,0.04800000000977889
7,136003.19,90948.645,12507.12,-18071.698,23847.009,-9782.286,-19266.868,-12139.411,20515.66,17486.574,-45695.705,-40831.496,2244.741,-16777.801,9890.625,-4640.602,0.0,0.05599999998230487
8,136043.088,90980.787,12520.71,-18042.887,23866.992,-9759.152,-19873.249,-12128.347,20465.838,17392.026,-45692.531,-40837.33,2192.349,-16852.522,9901.778,-4633.74,0.0,0.06399999995483086
9,136042.999,90974.327,12514.943,-18058.22,23858.207,-9771.289,-19284.482,-12127.185,20502.071,17472.135,-45702.835,-40835.81,2241.053,-16781.69,9886.489,-4629.002,0.0,0.0719999999855645
10,135967.83,91006.625,12537.451,-18023.799,23888.337,-9739.795,-19854.049,-12114.243,20471.784,17408.388,-45697.56,-40822.198,2209.537,-16829.21,9896.905,-4653.678,0.0,0.07999999995809048
11,135710.829,90981.055,12521.648,-18036.293,23866.12,-9760.023,-19322.949,-12126.0,20503.3,17480.204,-45693.895,-40808.25,2255.246,-16769.553,9914.049,-4628.063,0.0,0.08799999998882413
12,135675.514,91011.99,12545.118,-18002.743,23891.891,-9731.659,-19806.797,-12117.462,20479.384,17430.427,-45699.214,-40815.492,2226.904,-16808.109,9902.56,-4638.322,0.0,0.09599999996135011
13,135666.595,90992.767,12528.332,-18023.24,23867.617,-9756.201,-19378.292,-12120.658,20501.869,17459.462,-45686.966,-40785.72,2263.561,-16764.188,9892.077,-4632.444,0.0,0.10399999999208376
14,135662.706,91020.617,12540.692,-17994.965,23882.638,-9740.242,-19735.808,-12119.921,20487.05,17437.132,-45692.889,-40786.167,2249.971,-16782.293,9886.624,-4638.568,0.0,0.11199999996460974
15,135571.176,91002.199,12525.225,-18021.429,23855.749,-9771.043,-19456.411,-12125.084,20494.337,17438.92,-45675.03,-40767.816,2263.785,-16767.295,9891.206,-4639.999,0.0,0.11999999999534339
16,135646.59,91023.612,12530.388,-17997.446,23863.616,-9758.258,-19669.803,-12135.276,20487.028,17444.039,-45706.97,-40794.012,2249.457,-16782.45,9895.006,-4655.533,0.0,0.12799999996786937
17,135716.998,91010.626,12525.806,-18004.956,23847.411,-9774.15,-19532.921,-12136.953,20482.625,17419.43,-45686.116,-40774.902,2242.841,-16796.732,9889.149,-4641.876,0.0,0.13599999999860302
18,135794.291,91031.391,12540.491,-17976.01,23864.086,-9756.715,-19594.165,-12127.453,20499.768,17460.915,-45713.095,-40799.019,2248.429,-16779.678,9886.869,-4663.669,0.0,0.143999999971129
19,135835.418,91020.573,12537.451,-17995.769,23854.631,-9768.986,-19613.142,-12114.713,20491.051,17414.848,-45680.73,-40765.715,2242.26,-16799.795,9895.385,-4650.951,0.0,0.15200000000186265
20,135887.788,91027.658,12536.043,-17994.227,23858.788,-9767.109,-19511.955,-12128.884,20510.899,17474.415,-45714.212,-40805.68,2262.086,-16772.771,9888.613,-4676.454,0.0,0.15999999997438863
21,135917.963,91035.057,12543.821,-17984.974,23865.226,-9758.079,-19688.512,-12111.539,20493.219,17405.393,-45680.461,-40779.372,2239.846,-16817.162,9885.931,-4666.307,0.0,0.16800000000512227
22,135947.735,91034.744,12536.535,-17990.919,23857.358,-9764.225,-19422.727,-12137.4,20522.344,17484.607,-45716.738,-40811.938,2266.847,-16768.055,9891.049,-4669.548,0.0,0.17599999997764826
23,135946.238,91024.238,12533.942,-17990.584,23867.707,-9753.027,-19754.271,-12106.755,20484.994,17389.948,-45681.937,-40789.497,2228.0,-16827.958,9901.957,-4672.61,0.0,0.1840000000083819
24,135942.349,91020.729,12526.499,-17989.69,23863.929,-9753.877,-19352.811,-12124.078,20530.793,17491.156,-45699.907,-40800.159,2282.203,-16749.973,9888.658,-4680.209,0.0,0.1919999999809079
25,135947.445,91016.214,12531.148,-17984.37,23872.155,-9746.456,-19816.185,-12101.681,20491.185,17396.407,-45667.81,-40772.689,2243.847,-16816.268,9870.62,-4670.352,0.0,0.19999999995343387
26,135951.334,91000.791,12513.177,-17998.899,23853.491,-9762.661,-19299.435,-12119.518,20528.893,17499.471,-45694.766,-40794.772,2292.574,-16745.391,9878.733,-4675.314,0.0,0.20799999998416752
27,135986.471,91022.517,12533.07,-17983.565,23873.429,-9742.723,-19848.528,-12101.033,20481.373,17399.581,-45674.404,-40777.561,2239.622,-16823.376,9886.579,-4667.178,0.0,0.2159999999566935
28,135969.305,90994.063,12511.3,-18009.628,23851.614,-9766.639,-19257.57,-12122.871,20526.881,17496.99,-45696.108,-40794.37,2290.964,-16749.995,9889.663,-4682.534,0.0,0.22399999998742715
29,136004.039,91024.596,12535.663,-17966.556,23882.347,-9733.604,-19871.148,-12100.497,20483.876,17395.491,-45673.689,-40768.934,2244.562,-16818.503,9883.204,-4669.794,0.0,0.23199999995995313
30,135998.563,90997.483,12514.898,-18014.545,23855.525,-9763.935,-19255.246,-12123.832,20527.73,17494.375,-45687.167,-40776.198,2295.39,-16740.205,9895.073,-4685.73,0.0,0.23999999999068677
31,136025.497,91019.5,12529.024,-17996.06,23868.981,-9751.977,-19879.91,-12123.407,20474.578,17391.736,-45686.116,-40791.017,2228.715,-16828.494,9905.846,-4686.021,0.0,0.24799999996321276
32,135998.116,91007.497,12524.711,-17999.882,23856.509,-9763.175,-19275.675,-12129.062,20514.409,17479.332,-45698.03,-40799.243,2273.083,-16763.384,9898.492,-4687.518,0.0,0.2559999999939464
33,136001.693,91019.142,12534.791,-17993.914,23864.488,-9755.732,-19872.78,-12124.838,20480.658,17408.768,-45692.151,-40797.432,2227.664,-16825.164,9891.474,-4680.813,0.0,0.2639999999664724
34,135972.658,90999.383,12523.593,-18021.094,23840.818,-9783.381,-19318.836,-12132.795,20509.044,17474.147,-45695.571,-40799.131,2266.757,-16770.67,9904.885,-4690.424,0.0,0.27199999999720603
35,135993.624,91030.497,12543.911,-17991.187,23867.215,-9755.24,-19837.508,-12124.972,20484.904,17417.865,-45693.984,-40807.535,2232.068,-16823.242,9899.99,-4702.785,0.0,0.279999999969732
36,135972.702,91011.922,12534.009,-18011.483,23853.536,-9768.942,-19365.842,-12131.655,20505.088,17463.329,-45694.968,-40798.684,2256.52,-16786.026,9897.464,-4701.377,0.0,0.28800000000046566
37,135956.14,91032.777,12543.866,-17988.08,23869.383,-9751.798,-19780.064,-12128.101,20491.99,17444.017,-45702.59,-40798.527,2233.699,-16813.832,9930.299,-4712.083,0.0,0.29599999997299165
38,135935.263,91013.577,12530.366,-18005.939,23851.01,-9771.4,-19431.735,-12129.956,20499.299,17455.461,-45694.901,-40788.335,2245.255,-16795.838,9899.901,-4700.929,0.0,0.3040000000037253
39,135980.548,91042.656,12548.515,-17979.073,23875.284,-9743.908,-19718.396,-12119.004,20500.729,17457.428,-45700.958,-40797.119,2240.248,-16801.784,9909.512,-4711.859,0.0,0.3119999999762513
40,135943.891,91025.892,12536.87,-17998.72,23859.258,-9760.694,-19487.614,-12116.881,20498.517,17446.095,-45687.055,-40782.054,2246.686,-16799.258,9919.861,-4705.869,0.0,0.3200000000069849
41,135965.46,91037.851,12542.368,-17986.784,23869.338,-9745.562,-19620.473,-12121.999,20507.323,17469.073,-45707.082,-40800.07,2253.145,-16787.479,9910.227,-4714.743,0.0,0.3279999999795109
42,135926.479,91033.403,12549.208,-17990.919,23870.814,-9745.986,-19564.705,-12106.554,20500.439,17434.763,-45677.22,-40771.102,2247.401,-16801.002,9905.131,-4700.415,0.0,0.3359999999520369
43,135952.139,91041.159,12546.325,-17985.801,23874.949,-9743.237,-19531.893,-12116.478,20517.963,17485.949,-45701.472,-40797.365,2268.859,-16770.693,9921.626,-4722.857,0.0,0.34399999998277053
44,135954.329,91028.798,12551.801,-18000.732,23869.696,-9754.234,-19642.02,-12112.723,20495.007,17416.077,-45674.918,-40774.231,2247.2,-16813.362,9925.963,-4722.052,0.0,0.3519999999552965
45,135945.567,91043.461,12551.823,-17979.14,23875.038,-9742.768,-19447.672,-12117.238,20519.416,17484.026,-45704.869,-40804.808,2272.234,-16770.223,9908.014,-4751.199,0.0,0.35999999998603016
46,135893.912,91054.301,12565.525,-17971.585,23882.995,-9735.123,-19701.118,-12089.969,20499.299,17428.728,-45659.495,-40760.999,2255.537,-16805.45,9909.936,-4698.784,0.0,0.36799999995855615
47,135818.207,91037.314,12550.728,-17996.082,23861.068,-9757.766,-19365.909,-12118.714,20531.955,17506.087,-45697.046,-40799.354,2287.88,-16757.416,9898.537,-4726.522,0.0,0.3759999999892898
48,135854.216,91045.696,12551.644,-17984.437,23860.644,-9759.777,-19779.305,-12105.481,20482.245,17394.955,-45678.159,-40795.666,2237.32,-16837.524,9909.266,-4726.969,0.0,0.3839999999618158
49,135868.007,91045.316,12557.232,-17971.54,23869.316,-9752.692,-19322.457,-12109.572,20531.195,17508.121,-45699.214,-40809.167,2291.121,-16761.148,9931.774,-4723.885,0.0,0.3919999999925494
50,135784.478,91052.245,12565.972,-17972.568,23868.534,-9751.194,-19836.145,-12106.644,20488.816,17413.864,-45669.934,-40777.204,2244.07,-16824.829,9908.484,-4726.343,0.0,0.3999999999650754
51,135787.295,91043.17,12552.65,-17981.353,23854.452,-9759.196,-19278.603,-12122.893,20516.51,17500.589,-45717.141,-40816.386,2272.681,-16770.067,9896.168,-4742.526,0.0,0.40799999999580905
52,135846.08,91060.985,12571.56,-17961.191,23883.197,-9727.725,-19874.031,-12083.599,20492.929,17423.52,-45674.94,-40775.751,2244.026,-16822.616,9878.979,-4722.834,0.0,0.41599999996833503
53,135832.825,91024.305,12545.833,-17992.26,23856.732,-9757.632,-19253.457,-12105.481,20541.812,17526.785,-45690.095,-40791.107,2298.899,-16742.015,9879.136,-4730.769,0.0,0.4239999999990687
54,135852.986,91046.724,12559.512,-17979.564,23874.234,-9741.337,-19886.571,-12093.702,20496.08,17414.602,-45670.939,-40785.809,2241.411,-16820.716,9872.698,-4730.389,0.0,0.43199999997159466
55,135862.843,91039.281,12548.18,-17996.686,23859.101,-9760.806,-19254.597,-12109.147,20534.548,17501.706,-45690.9,-40800.628,2289.668,-16753.549,9862.573,-4740.939,0.0,0.4400000000023283
56,135913.716,91062.862,12565.547,-17970.177,23885.052,-9730.407,-19868.354,-12091.154,20499.522,17423.542,-45675.633,-40788.603,2246.127,-16816.782,9856.695,-4735.463,0.0,0.4479999999748543
57,135905.513,91032.24,12542.324,-17996.395,23860.688,-9751.82,-19270.154,-12102.576,20526.702,17501.505,-45685.267,-40793.901,2287.343,-16756.298,9884.791,-4747.242,0.0,0.45600000000558794
58,135957.19,91063.98,12557.009,-17963.918,23884.113,-9724.104,-19831.116,-12090.349,20499.858,17443.704,-45674.65,-40783.149,2251.916,-16801.359,9871.693,-4723.415,0.0,0.4639999999781139
59,135951.178,91048.088,12548.292,-17987.902,23866.366,-9746.277,-19300.91,-12096.675,20524.221,17493.861,-45680.439,-40789.564,2281.331,-16760.724,9867.222,-4738.212,0.0,0.47200000000884756
